LAMMPS data file via write_data, version 3 Mar 2020, timestep = 4093377

512 atoms
1 atom types

2.5871180611971489e-01 1.6960922593880969e+01 xlo xhi
2.2320101226086919e-01 1.6996433387739490e+01 ylo yhi
2.5184507963380653e-01 1.6967789320366329e+01 zlo zhi

Masses

1 12.011

Atoms # atomic

496 1 4.7505074225306565e-01 3.7623145645328417e+00 6.9175547349165123e-01 2 1 3
236 1 3.1358046847023626e+00 2.6235062526878097e+00 4.3343415059197774e+00 -2 2 -2
255 1 2.2193211071122878e+00 9.5793888348972500e-01 3.1458275276262593e+00 0 0 0
360 1 3.4003138040289480e+00 1.7516134736968436e+00 3.2097732224341611e+00 0 -1 2
248 1 3.1720670722778954e+00 3.9574242854940067e+00 3.8832101297710619e+00 1 1 0
373 1 2.1260107286605905e+00 4.5349896497958033e+00 6.5622117161512445e+00 1 3 -1
222 1 5.4465853785788232e-01 4.5311610221472703e-01 1.5038145627714161e+00 0 2 1
320 1 8.4487635788376381e-01 4.0097966409210350e+00 3.0343989985460240e+00 1 -1 0
132 1 1.7083675424693543e+00 9.8646964188122122e-01 4.5163161534051843e+00 0 0 2
266 1 2.2219263787315695e+00 4.3137589317673228e+00 2.9391202215290226e+00 0 -1 -1
343 1 3.4633154082990756e+00 1.3833959882170039e+00 7.5591228243361268e+00 2 1 -2
63 1 5.3381266483183176e-01 5.2599906346107810e+00 4.9942928310635617e+00 -2 0 1
151 1 2.5559356156341337e+00 5.1856338250131309e+00 1.8341940985079483e+00 1 2 0
251 1 3.0829223471545557e+00 4.9835416795730643e+00 5.5192241024083710e-01 -1 0 -1
112 1 8.1630737980274204e-01 4.6892227521050467e+00 6.2238715459146938e+00 0 2 -1
70 1 2.3289241639603957e+00 1.9761070803700558e+00 5.3273978817540453e+00 0 1 -2
336 1 2.5579464072932598e+00 3.4204540122229163e+00 7.2439778604906806e+00 2 1 0
19 1 2.7227851058281796e+00 2.1869557102676316e+00 6.6638069439062173e+00 0 3 0
177 1 4.3584545641385883e+00 5.6094415045765809e+00 6.3629166605599217e+00 -1 2 0
